,Year,Category,value
630,2007,Oats_Production,1502.3
631,2008,Oats_Production,1160.0
632,2009,Oats_Production,1161.5
633,2010,Oats_Production,1127.7
634,2011,Oats_Production,1262.0
635,2012,Oats_Production,1121.1
636,2013,Oats_Production,1254.7
637,2014,Oats_Production,1198.0
638,2015,Oats_Production,1299.7
639,2016,Oats_Production,2265.5
640,2017,Oats_Production,1227.4
641,2018,Oats_Production,1134.6
642,2019,Oats_Production,1142.9
643,2020,Oats_Production,1898.0
644,2021,Oats_Production,1734.9
645,2022,Oats_Production,1587.4
646,2023,Oats_Production,1021.1
647,2024,Oats_Production,1200.0
648,1989,Triticale _Area,91.0
649,1990,Triticale _Area,104.0
650,1991,Triticale _Area,101.0
651,1992,Triticale _Area,122.0
652,1993,Triticale _Area,129.2
653,1994,Triticale _Area,153.4
654,1995,Triticale _Area,221.1
655,1996,Triticale _Area,346.3
656,1997,Triticale _Area,366.4
657,1998,Triticale _Area,385.8
658,1999,Triticale _Area,358.0
659,2000,Triticale _Area,389.4
660,2001,Triticale _Area,408.9
661,2002,Triticale _Area,407.6
662,2003,Triticale _Area,445.5
663,2004,Triticale _Area,389.3
664,2005,Triticale _Area,391.8
665,2006,Triticale _Area,368.5
666,2007,Triticale _Area,359.7
667,2008,Triticale _Area,322.8
668,2009,Triticale _Area,349.7
669,2010,Triticale _Area,187.2
670,2011,Triticale _Area,144.6
671,2012,Triticale _Area,99.2
672,2013,Triticale _Area,79.9
673,2014,Triticale _Area,81.5
674,2015,Triticale _Area,78.4
675,2016,Triticale _Area,61.6
676,2017,Triticale _Area,55.5
677,2018,Triticale _Area,48.4
678,2019,Triticale _Area,72.8
679,2020,Triticale _Area,96.2
680,2021,Triticale _Area,61.9
681,2022,Triticale _Area,57.0
682,2023,Triticale _Area,53.9
683,2024,Triticale _Area,52.0
684,1989,Triticale _Production,164.0
685,1990,Triticale _Production,188.6
686,1991,Triticale _Production,177.3
687,1992,Triticale _Production,282.5
688,1993,Triticale _Production,262.8
689,1994,Triticale _Production,181.6
690,1995,Triticale _Production,468.5
691,1996,Triticale _Production,673.8
692,1997,Triticale _Production,632.5
693,1998,Triticale _Production,706.9
694,1999,Triticale _Production,764.1
695,2000,Triticale _Production,841.0
696,2001,Triticale _Production,859.7
697,2002,Triticale _Production,327.0
698,2003,Triticale _Production,825.9
699,2004,Triticale _Production,610.1
700,2005,Triticale _Production,829.8
701,2006,Triticale _Production,199.3
702,2007,Triticale _Production,450.0
703,2008,Triticale _Production,362.8
704,2009,Triticale _Production,545.0
705,2010,Triticale _Production,355.1
706,2011,Triticale _Production,284.6
707,2012,Triticale _Production,171.2
708,2013,Triticale _Production,125.6
709,2014,Triticale _Production,143.0
710,2015,Triticale _Production,127.4
711,2016,Triticale _Production,149.9
712,2017,Triticale _Production,87.0
713,2018,Triticale _Production,59.5
714,2019,Triticale _Production,76.9
715,2020,Triticale _Production,170.8
716,2021,Triticale _Production,117.2
717,2022,Triticale _Production,113.7
718,2023,Triticale _Production,82.7
719,2024,Triticale _Production,82.6
